Income,Liab_ratio,Total_assete,EPS,Networth,Return_Eq,Revenue,Turnover,Stock,Reture_A,Top_100
257725,68.76,7030077.0,4.41,2072476,12.97,2731429,0.86,609147.0,3.78,0
778905,71.24,29815825.0,1.51,9976793,7.81,13948716,0.84,5850478.0,2.57,0
-112835,51.67,21839702.0,-0.16,10793756,-1.05,17077832,0.0,8200469.0,-0.5,0
-108638,33.74,4961439.0,-0.63,3114979,-3.46,1217165,0.81,1726773.0,-2.19,0
557830,33.11,12870003.0,5.2,8153341,7.19,12188857,2.32,1033753.0,4.2,0
416040,41.9,4015795.0,13.25,2414039,17.45,5389194,2.39,315000.0,10.36,0
-396709,64.59,16009065.0,-1.36,5460674,-7.08,7778541,1.1,2548265.0,-2.42,0
722644,64.59,29420708.0,1.41,10279807,7.31,19319962,1.31,5049151.0,2.55,0
792471,44.93,10191612.0,7.48,5590084,14.53,7234362,1.26,908200.0,7.81,0
91424,44.04,6116737.0,0.96,3059121,3.01,2740221,0.69,941780.0,1.5,0
29987,42.0,3130949.0,0.39,1701187,1.79,1921700,1.04,770000.0,0.95,0
771395,65.0,12170450.0,7.19,6079942,13.53,7160275,1.0,1120981.0,6.43,0
257784,25.5,6845401.0,2.22,5206798,5.06,4384823,1.39,1160000.0,3.75,0
142372,34.83,4698229.0,2.04,2674623,5.41,1582138,0.61,668800.0,3.07,0
139131,27.93,2284270.0,3.61,1524922,9.36,1491678,1.36,398080.0,6.39,0
76196,28.52,2618205.0,1.12,1555694,5.02,1257464,1.28,680620.0,3.05,0
-152490,63.73,2746009.0,-2.23,957183,-15.51,658110,0.55,675460.0,-5.53,0
298017,44.69,7890838.0,1.65,4392051,6.88,2062150,0.61,1835510.0,3.78,0
99881,55.64,5223813.0,1.49,2191830,4.61,3515226,1.38,675330.0,1.99,0
285393,24.94,2629038.0,6.0,1794771,16.5,2065404,1.29,484000.0,11.49,0
32788,14.86,2099739.0,0.92,1844365,1.78,350169,0.63,358000.0,1.56,0
153555,37.04,5453170.0,1.14,3560723,4.35,2451961,0.67,1186157.0,2.79,0
68565,,1329334.0,2.06,873812,,863749,,338990.0,,0
101811,58.76,3055987.0,0.78,1279328,8.09,3162668,1.92,906000.0,3.39,0
281318,23.67,3285117.0,2.83,2539454,11.29,3822858,2.27,1000092.0,8.75,0
63520,53.53,4485052.0,1.06,2070783,3.11,1668586,0.82,627260.0,1.41,0
165645,41.84,7217549.0,1.73,3970429,4.21,5285365,1.58,930293.0,2.38,0
329178,53.61,10285771.0,3.78,5285717,6.14,3075457,0.51,1083126.0,3.17,0
399473,25.31,5384424.0,4.36,3792659,11.41,3818716,1.61,1007060.0,8.06,0
509581,46.92,3109067.0,10.07,1608411,34.19,2353380,1.49,510767.0,16.52,0
62801,41.61,4519023.0,0.81,2218618,2.87,2632875,1.5,754206.0,1.38,0
1267122,42.62,19346442.0,10.12,11196284,11.75,15551344,1.62,1205707.0,6.79,0
97648,46.61,1930825.0,2.31,1084262,9.2,1765557,1.56,383860.0,5.55,0
8444622,47.37,173429320.0,2.56,68247209,12.55,79500965,1.1,32585008.0,4.93,1
1407574,40.9,18656376.0,3.86,9384135,15.13,19929372,2.15,3575905.0,7.32,0
454923,68.35,6391719.0,9.57,2592602,19.47,5471250,1.43,505535.0,7.21,0
1944267,72.71,47307082.0,4.3,15500590,12.84,68240939,2.5,4508983.0,3.99,0
-180876,53.27,3038600.0,-1.78,1208928,-14.35,3377878,0.91,834516.0,-5.73,0
532785,33.74,32322701.0,1.81,11521368,5.56,20668056,1.93,3883936.0,1.7,0
1203755,36.95,15268362.0,6.31,7660971,16.24,11832513,1.52,1899380.0,8.34,0
612482,57.81,14966601.0,2.23,6078976,10.51,9466877,1.44,1343000.0,4.32,0
-5340,56.87,3943027.0,0.01,1778281,-0.3,2193597,0.94,2000000.0,-0.14,0
1355051,37.14,12439047.0,10.35,7244403,19.25,11205768,0.93,1309371.0,11.17,0
22419552,66.13,684346609.0,7.73,198940522,11.39,1399332906,3.93,26628737.0,3.39,1
676365,27.48,10249628.0,4.76,7493939,9.24,7263201,1.35,1423676.0,6.71,0
-185647,48.32,9804741.0,-0.93,5240760,-3.58,4304546,0.83,1572126.0,-1.88,0
282037,25.64,2870648.0,2.59,2109313,13.67,2899677,1.73,1088158.0,9.99,0
16164,32.37,2619651.0,0.16,1829068,0.89,1302811,0.77,1004082.0,0.63,0
11508290,35.41,181120487.0,8.9,104037876,11.83,131278537,1.41,9470492.0,7.04,0
-91471,31.93,14571675.0,-0.13,9621616,-0.96,9456875,1.3,6657285.0,-0.64,0
731828,34.75,9269684.0,4.07,6276149,13.63,10879700,2.63,1665880.0,8.86,0
141292,57.18,3716377.0,2.06,1479594,9.97,7501914,5.16,744865.0,4.01,0
866216,42.58,3661208.0,13.82,2185286,42.86,5350200,2.09,631921.0,24.98,0
-56832,28.3,2346310.0,-0.5,1610312,-3.58,1371127,0.95,1188070.0,-2.48,0
538647,24.62,3286730.0,8.02,2668719,20.84,3339200,1.44,686898.0,16.53,0
34323,17.88,2487496.0,0.22,2041812,1.69,2796303,2.02,1530850.0,1.39,0
432923,33.84,2574757.0,3.91,1785162,25.39,3246437,3.02,1106390.0,17.06,0
