,公司代號,公司名稱,營業收入,營收成長率,本期淨利（淨損）,淨值,股東權益報酬率,股本,資產總額,資產報酬率,總資產週轉率,負債比率,基本每股盈餘（元）,Top_100
0,N_name,Name,Revenue,SV,Income,Networth,Return_Eq,Stock,Total_assete,Reture_A,Turnover,Liab_ratio,EPS,Top_100
115,1503,士電,25684003,-0.53,1596946,25700345,6.27,5209722,42057817,3.85,1.11,39.46,2.93,0
116,1504,東元,45823430,-5.28,3811648,67625232,5.65,19676929,105679071,3.6,0.85,37.73,1.81,0
117,1506,正道,855851,-27.15,-370361,902840,-40.13,1631618,2289883,-16.09,0.74,67.69,-2.19,0
118,1507,永大,15318751,11.42,1345347,12042300,11.33,4108200,23916553,5.75,1.09,47.27,3.2,0
119,1512,瑞利,1188984,-38.79,-128179,184737,-67.05,2367025,2218122,-5.8,1.23,89.92,-0.55,0
120,1513,中興電,15390789,24.35,1551301,10903546,15.31,4761343,29541235,5.46,1.05,61.35,3.59,0
121,1514,亞力,5113892,5.51,320145,3327346,9.74,2174540,6119464,5.14,1.42,46.53,1.51,0
122,1515,力山,11374207,43.94,822190,3761193,23.11,1814735,9541148,9.37,1.97,50.01,4.5,0
123,1516,川飛,820184,21.97,28653,407295,7.08,343948,473379,6.09,2.51,17.67,0.83,0
124,1517,利奇,3383919,12.85,202305,3367379,6.16,2278250,4823283,4.33,1.19,26.74,0.76,0
125,1519,華城,8471592,18.04,457514,3547016,13.21,2610585,8692352,4.91,1.26,60.65,1.75,0
126,1521,大億,4797165,-11,159750,1760329,9.25,762300,3669776,4.38,2.58,47.72,2.1,0
127,1522,堤維西,14446208,-17.92,286687,6704926,4.33,3128979,22745135,1.27,1.29,70.94,0.84,0
128,1524,耿鼎,1908786,-20.26,36537,2203927,1.67,1653104,5033319,0.72,0.82,54.16,0.21,0
129,1525,江申,1052991,-15.23,324045,4323976,7.67,734001,5284732,6.27,0.43,18.48,4.41,0
130,1526,日馳,1246649,9.99,178317,1132693,15.95,600000,1847517,10.04,1.2,38.24,2.97,0
131,1527,鑽全,3589313,3.62,406950,4116934,10.01,1385706,5089151,8.17,0.67,15.88,2.94,0
132,1528,恩德,3210946,-22.73,-118019,2184250,-5.37,1993310,5010635,-2.36,1.35,52.91,-0.61,0
133,1529,樂士,609148,-23.27,62077,1074091,5.81,959680,1627586,3.84,0.65,43.48,0.65,0
134,1530,亞崴,3093583,-9.49,594202,3251872,18.39,965942,6023970,9.65,0.89,55.28,3.92,0
135,1531,高林股,1609928,-25.81,-55089,3540095,-1.56,1836081,4424494,-1.27,0.87,16.76,-0.3,0
136,1532,勤美,13125899,-3.89,791441,16002072,5.08,3761221,44787320,1.78,0.59,63.33,1.47,0
137,1533,車王電,2866192,2.21,-5000,2723530,-0.19,985475,6428761,-0.08,0.85,54.42,0.86,0
138,1535,中宇,8836360,-5.15,197435,2960256,6.74,1237426,6724372,3.1,2.58,51.93,1.6,0
139,1536,和大,5211042,-12.76,285560,6407043,4.51,2545175,18351175,1.58,0.61,61.38,1.12,0
140,1537,廣隆,7119214,-10.31,879196,3990104,22.55,820684,5445598,16.29,2.52,25.4,10.75,0
141,1538,正峰,275762,-22.63,-12302,172935,-6.99,264105,458269,-2.69,0.61,84.34,-0.57,0
142,1539,巨庭,2293323,4.45,-18592,1251074,-1.47,653700,4436747,-0.42,1.21,60.81,-0.28,0
143,1540,喬福,311106,-53.61,-20657,1336100,-1.55,854736,1566895,-1.33,0.7,13.24,-0.24,0
144,1541,錩泰,5271945,25.52,456555,1714454,27.57,788000,3839724,12.09,2.33,58.81,5.79,0
145,1558,伸興,6965819,17.35,845641,5054478,17.06,605356,7981683,10.74,1.63,25.43,13.76,0
146,1560,中砂,5156550,5.72,539476,4735991,11.58,1410775,9452848,5.93,1.11,41.89,3.63,0
147,1568,倉佑,1756718,-13.66,10300,1479953,0.7,1030865,3146395,0.33,1.06,53.46,0.1,0
148,1582,信錦,9663341,12.49,974682,6241835,16.15,1237242,11770911,8.81,1.63,42.95,7.81,0
149,1583,程泰,5205033,-15.02,685775,6465981,10.73,1104004,12308522,5.52,0.83,53.84,4.39,0
150,1587,吉茂,1725729,13.8,173670,1292135,13.66,653566,2673908,6.55,1.05,52.86,2.64,0
151,1589,永冠-KY,8184273,3.6,516530,8763942,6.16,1106175,16394386,3.28,0.99,42.15,4.81,0
152,1590,亞德客-KY,19103001,20.17,4844203,22491128,22.59,1890250,41430981,11.97,0.7,54.47,25.63,0
153,1592,英瑞-KY,4677501,-5.66,-1550068,909252,-128.35,1109783,4750887,-27.92,1.14,67.96,-13.57,0
154,1597,直得,1381885,,203095,2113058,,811876,3509341,,,,2.51,0
155,1598,岱宇,13123756,124.35,1318056,4869862,29.84,1326523,13251988,10.8,1.4,69.24,11.69,0
156,1603,華電,2244267,-17.32,326569,5424937,6.06,1916880,8341380,3.82,0.58,36.58,2.05,0
157,1604,聲寶,7670020,7.84,1835995,8094071,23.11,3872000,12614809,14.65,1.02,45.28,4.86,0
158,1605,華新,112546603,-16.53,7005801,87280830,8.4,32260002,151564006,4.78,1.75,43.1,2.04,1
159,1608,華榮,7440063,-5.01,371697,7923083,4.85,6327735,12343475,3.08,1.16,35.71,0.76,0
160,1609,大亞,18300805,0.35,1033720,9130044,11.6,5950680,25204203,4.24,1.53,59.65,1.45,0
161,1611,中電,2074046,-12.17,78618,4208206,1.88,3227358,5982799,1.3,0.64,22.59,0.23,0
162,1612,宏泰,4567162,30.33,517169,5296315,10.05,3160801,6142370,8.67,1.05,20.28,1.64,0
163,1614,三洋電,5488349,5.56,355605,5357483,6.67,2691134,6567985,5.36,1.46,17.44,1.36,0
164,1615,大山,3165977,0.59,328750,2029888,16.72,1230480,3417234,9.8,1.96,35.35,2.67,0
165,1616,億泰,2682733,-14.76,1703,1506404,0.11,1941485,2776143,0.06,1.69,46.95,0.01,0
166,1617,榮星,2984283,2.6,146273,1797135,8.24,1442332,3041241,4.94,1.83,38.17,1.02,0
167,1618,合機,2822947,2.36,241980,4615594,5.48,2408647,5036954,4.94,1,11.27,1,0
168,1626,艾美特-KY,9207346,-9.22,156239,3138916,5.07,1395876,9253342,1.68,2.17,66.19,1.12,0
169,1701,中化,8181056,2.37,559500,6626859,8.48,2980811,12356914,4.57,1.21,48.7,1.88,0
170,1702,南僑,17621763,-4.09,995601,6955389,14.96,2941330,25340484,3.99,1.34,73.09,3.84,0
171,1707,葡萄王,9168195,-0.77,1895095,7978454,24.75,1362864,13104121,15.1,1.44,34.23,9.34,0
172,1708,東鹼,4034992,-7.05,174129,5796077,3.01,2284419,11878285,1.45,0.6,52.83,0.76,0
173,1709,和益,8481829,-3.66,539660,7484947,7.28,4770163,11120153,4.88,1.35,35.88,1.16,0
174,1710,東聯,18763159,-16.02,-1471647,14911806,-9.67,8857031,34103627,-4.17,1.12,54.63,-1.22,0
175,1711,永光,7769066,-16.75,205022,8388383,2.48,5477522,13226389,1.56,1.18,40.26,0.39,0
176,1712,興農,17484401,2.36,721519,7107429,10.11,4204926,14955981,4.84,1.99,53.64,1.7,0
177,1713,國化,475644,-19.82,91433,2339296,3.96,1509517,2484080,3.72,0.42,6.27,0.61,0
178,1714,和桐,25849191,-4.84,2399546,16343964,14.76,10168248,24281825,9.94,1.99,41.89,1.68,0
179,1717,長興,38370366,-4.94,2493217,23238302,11.08,12402795,56188625,4.55,1.3,59.25,2.05,0
180,1720,生達,4305400,9.52,625560,4905835,12.99,1786961,7049447,9.01,0.99,32.93,2.93,0
181,1721,三晃,2752601,-15.15,524306,2477377,19.67,1889952,4799421,10.75,1.36,46.36,2.43,0
182,1722,台肥,10169742,-21.41,2452881,51308711,4.79,9800000,76346127,3.22,0.3,32.95,2.5,0
183,1723,中碳,5363774,-28.89,708027,6810426,10.67,2369044,11642873,6.13,1.11,39.14,3.09,0
184,1724,台硝,1746339,-8.14,25477,1946526,1.31,1278139,3140270,0.8,1.19,28.02,0.2,0
185,1725,元禎,7072520,-17.63,249050,3430670,7.52,1818300,5342572,4.73,2.75,36.12,1.37,0
186,1726,永記,7987996,0.61,830516,8763190,9.64,1620000,10286126,8.3,1.41,13.97,5.13,0
187,1727,中華化,1772950,-21.78,-153895,1268603,1.32,1082500,2298098,0.72,1.58,41.61,-1.26,0
188,1730,花仙子,3058759,-9.81,383850,1868498,20.83,632339,2595403,15.03,2.33,33.02,5.51,0
189,1731,美吾華,1065325,-3.23,171002,1876050,9.21,1329152,2476266,6.96,0.72,35.75,1.29,0
190,1732,毛寶,620713,4.52,38595,490521,7.97,424439,650622,6.06,1.75,23.78,0.91,0
191,1733,五鼎,2005337,-8.8,94629,1646167,5.8,999502,2651442,3.58,1.37,40.42,0.95,0
192,1734,杏輝,2388452,-0.17,-172559,3143823,-5.51,1677221,6126915,-2.81,0.69,45.87,-0.17,0
193,1735,日勝化,2363415,-25.55,74010,1484544,5.1,993880,3055063,2.44,1.91,49.53,0.74,0
194,1736,喬山,28366756,11.44,747354,10281725,7.66,3036166,31187089,2.44,1.59,66.08,2.24,0
195,1737,臺鹽,3130347,8.97,374589,6364228,5.95,2000000,7797719,4.89,0.68,19.06,1.83,0
196,1760,寶齡富錦,1568637,-0.34,27901,1239967,2.28,767391,3073954,1.12,1.46,28.91,0.36,0
197,1762,中化生,1543589,33.45,532063,2498663,21.7,775600,3147140,17.35,0.6,41.4,6.86,0
198,1773,勝一,7778275,3.6,1174007,5764974,21.02,1800000,8237310,14.82,1.87,29.61,6.52,0
199,1776,展宇,1380972,-14.46,56019,1098867,5.17,703470,1892973,3,1.53,40.81,0.65,0
200,1783,和康生,457691,1.21,63311,860227,7.45,694650,956470,6.71,0.68,28.19,0.91,0
201,1786,科妍,466881,6.62,128005,1404181,9.21,610050,1890726,6.81,0.41,26.91,2.1,0
202,1789,神隆,3082928,6.57,282067,10529403,2.68,7907392,11846763,2.37,0.42,12.12,0.36,0
203,1795,美時,10728583,15.42,1029651,8745414,12.11,2453540,19753418,5.37,0.85,56.78,4.22,0
204,1802,台玻,41907654,0.33,2460548,46800197,5.81,29080608,89929777,2.97,0.82,50.34,0.85,0
205,1805,寶徠,219762,72.81,-61775,604837,-10.07,1002654,1377771,-4.57,0.16,54.99,-0.62,0
206,1806,冠軍,3609001,-23.98,-402867,5516902,-7.35,4337821,9894776,-4.09,0.82,40.15,-0.93,0
207,1808,潤隆,7656236,82.35,117248,5070936,2.36,3699966,36797990,0.33,0.24,81.06,0.32,0
208,1809,中釉,1860523,-18.29,-96123,3469158,-2.77,1670419,4295774,-2.23,0.86,20.88,-0.36,0
209,1810,和成,5102207,-7.81,79404,5951582,1.36,3698536,10738661,0.74,0.87,47.71,0.24,0
210,1817,凱撒衛,2306521,-1.22,220056,1715527,13.01,726000,2549013,8.64,1.61,33.02,3.04,0
211,1903,士紙,159473,-5.87,-135685,3412685,-4.59,2600391,7521993,-1.92,0.05,61.75,-0.52,0
212,1904,正隆,40074390,-0.82,3743869,26786556,14.24,11082745,61005820,6.23,1.16,56.93,3.36,0
213,1905,華紙,18616694,-10.02,-312392,16985754,-1.85,11028353,32670233,-0.99,1.16,44.06,-0.18,0
